roi,coefficient,abs_coefficient,rank
LEFT_HIPPOCAMPUS_SUVR,-0.139486,0.139486,1
CTX_LH_LINGUAL_SUVR,0.036492,0.036492,2
CTX_LH_TRANSVERSETEMPORAL_SUVR,0.036280,0.036280,3
RIGHT_PALLIDUM_SUVR,-0.035561,0.035561,4
CTX_LH_BANKSSTS_SUVR,0.034687,0.034687,5
CTX_RH_ENTORHINAL_SUVR,-0.028517,0.028517,6
CTX_LH_FUSIFORM_SUVR,0.027567,0.027567,7
LEFT_AMYGDALA_SUVR,0.025475,0.025475,8
LEFT_PUTAMEN_SUVR,0.024134,0.024134,9
LEFT_ACCUMBENS_AREA_SUVR,0.019607,0.019607,10
CTX_RH_PRECUNEUS_SUVR,0.012132,0.012132,11
CTX_RH_TRANSVERSETEMPORAL_SUVR,0.000000,0.000000,12
CTX_RH_TEMPORALPOLE_SUVR,0.000000,0.000000,13
CTX_RH_SUPERIORTEMPORAL_SUVR,-0.000000,0.000000,14
CTX_RH_BANKSSTS_SUVR,0.000000,0.000000,15
CTX_LH_PARAHIPPOCAMPAL_SUVR,-0.000000,0.000000,16
CTX_RH_PARAHIPPOCAMPAL_SUVR,-0.000000,0.000000,17
CTX_LH_CUNEUS_SUVR,0.000000,0.000000,18
CTX_RH_CUNEUS_SUVR,0.000000,0.000000,19
CTX_LH_LATERALOCCIPITAL_SUVR,-0.000000,0.000000,20
CTX_RH_LATERALOCCIPITAL_SUVR,-0.000000,0.000000,21
CTX_LH_PERICALCARINE_SUVR,0.000000,0.000000,22
CTX_RH_LINGUAL_SUVR,0.000000,0.000000,23
RIGHT_AMYGDALA_SUVR,0.000000,0.000000,24
RIGHT_HIPPOCAMPUS_SUVR,-0.000000,0.000000,25
LEFT_PALLIDUM_SUVR,-0.000000,0.000000,26
RIGHT_PUTAMEN_SUVR,0.000000,0.000000,27
RIGHT_THALAMUS_PROPER_SUVR,0.000000,0.000000,28
LEFT_THALAMUS_PROPER_SUVR,0.000000,0.000000,29
CTX_RH_INSULA_SUVR,-0.000000,0.000000,30
CTX_LH_INSULA_SUVR,-0.000000,0.000000,31
CTX_LH_TEMPORALPOLE_SUVR,0.000000,0.000000,32
CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,0.000000,0.000000,33
CTX_RH_POSTERIORCINGULATE_SUVR,0.000000,0.000000,34
CTX_LH_POSTERIORCINGULATE_SUVR,-0.000000,0.000000,35
CTX_RH_ISTHMUSCINGULATE_SUVR,0.000000,0.000000,36
CTX_LH_ISTHMUSCINGULATE_SUVR,0.000000,0.000000,37
CTX_RH_CAUDALANTERIORCINGULATE_SUVR,-0.000000,0.000000,38
CTX_LH_CAUDALANTERIORCINGULATE_SUVR,-0.000000,0.000000,39
CTX_RH_PERICALCARINE_SUVR,0.000000,0.000000,40
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR,-0.000000,0.000000,41
CTX_RH_PARSTRIANGULARIS_SUVR,-0.000000,0.000000,42
CTX_LH_PARSTRIANGULARIS_SUVR,0.000000,0.000000,43
CTX_RH_PARSORBITALIS_SUVR,-0.000000,0.000000,44
CTX_LH_PARSORBITALIS_SUVR,-0.000000,0.000000,45
CTX_RH_PARSOPERCULARIS_SUVR,-0.000000,0.000000,46
CTX_LH_PARSOPERCULARIS_SUVR,-0.000000,0.000000,47
CTX_RH_FRONTALPOLE_SUVR,0.000000,0.000000,48
CTX_LH_FRONTALPOLE_SUVR,0.000000,0.000000,49
CTX_RH_MIDDLETEMPORAL_SUVR,-0.000000,0.000000,50
CTX_LH_SUPERIORFRONTAL_SUVR,0.000000,0.000000,51
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,0.000000,0.000000,52
CTX_LH_ROSTRALMIDDLEFRONTAL_SUVR,0.000000,0.000000,53
CTX_RH_MEDIALORBITOFRONTAL_SUVR,0.000000,0.000000,54
CTX_LH_MEDIALORBITOFRONTAL_SUVR,0.000000,0.000000,55
CTX_RH_LATERALORBITOFRONTAL_SUVR,-0.000000,0.000000,56
CTX_LH_LATERALORBITOFRONTAL_SUVR,-0.000000,0.000000,57
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR,0.000000,0.000000,58
